listing_id,date
15857785,2017-12-26
15857785,2018-01-01
15857785,2018-01-03
15857785,2018-01-05
15857785,2018-01-10
15857785,2018-01-14
15857785,2018-01-15
15857785,2018-01-28
15857785,2018-02-04
15857785,2018-02-18
15857785,2018-03-01
15857785,2018-03-04
15857785,2018-03-12
15857785,2018-03-16
15857785,2018-03-22
15857785,2018-03-25
15857785,2018-03-28
15857785,2018-03-31
15857785,2018-04-04
15857785,2018-04-08
15857785,2018-04-15
15942471,2017-01-03
15942471,2017-04-23
15942471,2017-05-21
15942471,2017-05-29
15942471,2017-06-11
15942471,2017-06-18
15942471,2017-06-29
15942471,2017-07-04
15942471,2017-07-11
15942471,2017-07-18
15942471,2017-07-24
15942471,2017-07-31
15942471,2017-08-13
15942471,2017-08-27
15942471,2017-10-08
15942471,2017-11-26
15942471,2018-01-02
15942471,2018-02-11
15942471,2018-02-19
15942471,2018-03-19
16159868,2017-04-05
16159868,2017-04-09
16159868,2017-04-11
16159868,2017-04-17
16159868,2017-04-20
16159868,2017-04-23
16159868,2017-05-11
16159868,2017-05-11
16159868,2017-05-14
16159868,2017-05-14
16159868,2017-05-28
16476278,2017-01-10
16476278,2017-02-05
16476278,2017-02-13
16476278,2017-06-17
16476278,2017-06-28
16476278,2017-07-10
16476278,2017-07-24
16476278,2017-08-07
16476278,2018-02-12
16476278,2018-02-20
16476278,2018-04-05
16542967,2017-02-25
16542967,2017-03-05
16542967,2017-05-15
16542967,2017-05-16
16884158,2017-04-14
16884158,2017-05-03
16884158,2017-05-13
16884158,2017-05-23
16884158,2017-05-26
16884158,2017-07-16
16884158,2017-07-24
16884158,2017-08-09
16884158,2017-08-13
16884158,2017-08-23
16884158,2017-09-19
16884158,2017-10-01
16884158,2017-10-17
16884158,2017-10-20
16884158,2017-10-29
16884158,2017-11-13
16884158,2017-11-25
16884158,2017-11-28
16884158,2017-12-05
16884158,2017-12-17
16884158,2017-12-24
16884158,2018-01-12
16884158,2018-01-31
16884158,2018-03-29
16884158,2018-03-31
16932154,2017-02-05
16932154,2017-03-28
16932154,2017-04-16
16932154,2017-05-21
16932154,2017-06-19
16932154,2017-07-03
16932154,2017-08-07
16932154,2017-08-09
16932154,2017-08-11
16932154,2017-08-14
16932154,2017-08-20
16932154,2017-09-17
16932154,2017-10-03
16932154,2017-10-15
16932154,2017-10-29
16932154,2017-11-12
16932154,2017-12-29
16932154,2018-02-19
16999624,2017-04-24
16999624,2017-05-21
16999624,2017-05-29
16999624,2017-06-18
16999624,2017-07-08
16999624,2017-07-12
16999624,2017-07-17
